City,Lat,Long,Total_Revenue,Population,Revenue_per_capita,Population_Fbi,Violent_Crime,Murder,Rape,Robbery,Agg_Assault,Property_Crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,,,,,,,,,,,,,,,,,,,,,
McFarland,35.6781,-119.2414,"14,947,682","14,658","1,020","14,263",33,1,2,4,26,207,76,78,53,21,,,,,,,,,,,,,,,,,,,,,
Mendota,36.7555,-120.3777,"7,697,977","11,763",654,"11,481",97,4,7,12,74,150,33,85,32,1,,,,,,,,,,,,,,,,,,,,,
Menifee,33.6909,-117.1849,"44,166,379","89,004",496,"89,114",135,0,8,47,80,"2,119",384,"1,400",335,0,,,,,,,,,,,,,,,,,,,,,
Menlo Park,37.4689,-122.1662,"74,444,839","33,863","2,198","33,726",30,0,10,7,13,623,101,493,29,5,,,,,,,,,,,,,,,,,,,,,
Merced,37.3057,-120.4779,"105,621,501","83,962","1,258","83,106",489,1,35,134,319,"2,774",558,"1,617",599,82,,,,,,,,,,,,,,,,,,,,,
Mill Valley,37.9085,-122.5421,"39,950,413","14,880","2,685","14,491",9,0,1,2,6,223,45,166,12,1,,,,,,,,,,,,,,,,,,,,,
Milpitas,37.4338,-121.8921,"161,941,706","75,521","2,144","79,990",96,1,9,52,34,"1,791",202,"1,320",269,4,,,,,,,,,,,,,,,,,,,,,
Mission Viejo,33.6095,-117.655,"72,308,240","96,701",748,"97,950",75,0,7,25,43,983,160,768,55,14,,,,,,,,,,,,,,,,,,,,,
Modesto,37.6371,-121.003,"324,713,211","211,903","1,532","212,880","2,104",13,103,481,"1,507","9,324","1,421","6,350","1,553",65,,,,,,,,,,,,,,,,,,,,,
Monrovia,34.165,-117.9921,"126,637,624","37,531","3,374","37,637",60,0,8,19,33,832,132,624,76,1,,,,,,,,,,,,,,,,,,,,,
Montague,41.7275,-122.5302,"1,348,404","1,456",926,"1,390",4,0,1,0,3,15,8,6,1,0,,,,,,,,,,,,,,,,,,,,,
Montclair,34.0714,-117.6981,"44,502,648","38,686","1,150","39,085",210,0,32,63,115,"1,713",326,978,409,27,,,,,,,,,,,,,,,,,,,,,
Monte Sereno,37.2405,-121.9881,"3,115,782","3,475",897,"3,591",0,0,0,0,0,28,14,13,1,0,,,,,,,,,,,,,,,,,,,,,
Montebello,34.0155,-118.1107,"103,081,100","63,924","1,613","64,206",214,0,7,114,93,"1,978",823,607,548,46,,,,,,,,,,,,,,,,,,,,,
Monterey,36.5922,-121.8807,"133,966,454","28,610","4,683","28,506",100,1,15,29,55,"1,083",199,816,68,3,,,,,,,,,,,,,,,,,,,,,
Monterey Park,34.0497,-118.1325,"86,106,800","61,346","1,404","61,710",131,1,8,59,63,"1,704",460,998,246,1,,,,,,,,,,,,,,,,,,,,,
Moorpark,34.2855,-118.877,"37,619,588","36,715","1,025","36,423",37,0,12,4,21,296,59,213,24,7,,,,,,,,,,,,,,,,,,,,,
Moraga,37.8438,-122.1225,"13,762,775","16,513",833,"17,505",10,0,1,2,7,143,24,95,24,0,,,,,,,,,,,,,,,,,,,,,
Moreno Valley,33.9244,-117.2045,"173,820,761","205,383",846,"206,224",863,9,17,341,496,"6,118",969,"4,042","1,107",7,,,,,,,,,,,,,,,,,,,,,
Morgan Hill,37.1324,-121.641,"92,720,766","43,645","2,124","44,015",82,0,3,21,58,642,111,418,113,1,,,,,,,,,,,,,,,,,,,,,
Morro Bay,35.3681,-120.8481,"27,628,717","10,722","2,577","10,719",17,2,0,3,12,204,52,136,16,2,,,,,,,,,,,,,,,,,,,,,
Mount Shasta,41.3206,-122.315,"10,734,282","77,925",138,"3,277",10,0,1,0,9,96,22,63,11,1,,,,,,,,,,,,,,,,,,,,,
Mountain View,37.4001,-122.0796,"247,667,000","3,367","73,557","81,726",132,0,9,29,94,"1,776",280,"1,377",119,5,,,,,,,,,,,,,,,,,,,,,
Murrieta,33.572,-117.1909,"58,338,674","113,795",513,"111,043",49,0,8,17,24,"1,603",280,"1,115",208,9,,,,,,,,,,,,,,,,,,,,,
Napa,38.2982,-122.3011,"217,089,340","80,576","2,694","81,115",296,1,38,47,210,"1,579",437,"1,013",129,5,,,,,,,,,,,,,,,,,,,,,
National City,32.6654,-117.0983,"96,350,090","60,768","1,586","61,550",267,3,13,108,143,"1,376",182,734,460,5,,,,,,,,,,,,,,,,,,,,,
Needles,34.816,-114.6192,"5,491,173","5,035","1,091","5,010",47,0,3,6,38,161,67,77,17,1,,,,,,,,,,,,,,,,,,,,,
Nevada City,39.2608,-121.0231,"9,166,851","3,260","2,812","3,167",9,0,1,1,7,108,21,73,14,4,,,,,,,,,,,,,,,,,,,,,
Newark,37.5204,-122.0312,"64,404,951","44,733","1,440","45,893",108,1,15,45,47,"1,186",237,710,239,1,,,,,,,,,,,,,,,,,,,,,
Newman,37.3156,-121.0208,"10,275,882","10,840",948,"11,037",32,0,1,4,27,150,34,74,42,1,,,,,,,,,,,,,,,,,,,,,
Newport Beach,33.6151,-117.8669,"259,706,253","84,270","3,082","87,482",110,1,34,17,58,"2,241",437,"1,644",160,4,,,,,,,,,,,,,,,,,,,,,
Norco,33.9253,-117.55,"41,509,753","26,896","1,543","26,132",51,0,3,16,32,772,164,482,126,1,,,,,,,,,,,,,,,,,,,,,
Norwalk,33.9069,-118.0829,"96,194,767","105,292",914,"107,453",419,7,18,139,255,"1,963",372,"1,125",466,15,,,,,,,,,,,,,,,,,,,,,
Novato,38.092,-122.5576,"51,877,876","54,749",948,"56,263",80,0,9,15,56,"1,038",186,716,136,8,,,,,,,,,,,,,,,,,,,,,
Oakdale,37.762,-120.8463,"27,755,282","22,348","1,242","22,572",54,0,10,11,33,688,127,482,79,3,,,,,,,,,,,,,,,,,,,,,
Oakland,37.7903,-122.2165,"1,543,150,656","422,856","3,649","424,998","6,059",85,277,"3,076","2,621","23,952","2,900","14,153","6,899",191,,,,,,,,,,,,,,,,,,,,,
Oakley,37.9929,-121.6951,"31,396,417","40,141",782,"40,695",55,0,6,24,25,419,77,221,121,1,,,,,,,,,,,,,,,,,,,,,
Oceanside,33.2247,-117.3083,"357,356,109","175,948","2,031","177,340",639,8,56,172,403,"4,364",607,"3,276",481,14,,,,,,,,,,,,,,,,,,,,,
Ojai,34.4487,-119.2469,"11,119,660","7,477","1,487","7,658",10,0,3,1,6,63,14,44,5,0,,,,,,,,,,,,,,,,,,,,,
Ontario,34.0393,-117.6064,"388,148,393","169,869","2,285","172,606",602,8,32,227,335,"4,718",885,"2,764","1,069",25,,,,,,,,,,,,,,,,,,,,,
Orange,33.8038,-117.8219,"160,276,908","141,420","1,133","141,841",228,1,25,57,145,"2,608",464,"1,783",361,9,,,,,,,,,,,,,,,,,,,,,
Orange Cove,36.6211,-119.3188,"11,011,540","9,220","1,194","9,706",39,1,1,3,34,153,30,67,56,3,,,,,,,,,,,,,,,,,,,,,
Orinda,37.8808,-122.179,"27,456,245","18,749","1,464","19,585",10,0,0,4,6,156,35,110,11,0,,,,,,,,,,,,,,,,,,,,,
Orland,39.7461,-122.185,"7,878,276","7,676","1,026","7,587",27,0,5,5,17,145,30,96,19,1,,,,,,,,,,,,,,,,,,,,,
Oroville,39.5,-121.5647,"24,016,006","17,996","1,335","16,322",141,0,15,43,83,"1,330",282,866,182,10,,,,,,,,,,,,,,,,,,,,,
Oxnard,34.1961,-119.1821,"313,279,579","206,997","1,513","209,048",948,12,69,429,438,"6,073",978,"4,309",786,40,,,,,,,,,,,,,,,,,,,,,
Pacific Grove,36.6192,-121.9255,"28,294,602","15,352","1,843","15,795",9,0,5,2,2,318,47,249,22,2,,,,,,,,,,,,,,,,,,,,,
Pacifica,37.6112,-122.4781,"53,407,419","37,806","1,413","39,650",65,0,15,11,39,492,89,363,40,3,,,,,,,,,,,,,,,,,,,,,
Palm Desert,33.7378,-116.3696,"107,789,584","49,335","2,185","52,528",77,1,2,26,48,"2,144",380,"1,586",178,2,,,,,,,,,,,,,,,,,,,,,
Palm Springs,33.8012,-116.538,"175,907,293","46,654","3,770","47,909",275,2,28,67,178,"2,754",746,"1,669",339,7,,,,,,,,,,,,,,,,,,,,,
Palmdale,34.5945,-118.1058,"121,099,608","160,072",757,"159,441",697,8,45,222,422,"2,728",646,"1,660",422,34,,,,,,,,,,,,,,,,,,,,,
Palo Alto,37.3917,-122.1465,"482,352,538","68,207","7,072","67,317",73,1,9,28,35,"1,436",215,"1,159",62,8,,,,,,,,,,,,,,,,,,,,,
Palos Verdes Estates,33.7871,-118.3976,"19,129,081","13,712","1,395","13,730",4,0,0,1,3,111,28,76,7,1,,,,,,,,,,,,,,,,,,,,,
Paradise,39.7558,-121.6063,"18,932,010","25,405",745,"26,532",45,1,7,8,29,502,250,178,74,3,,,,,,,,,,,,,,,,,,,,,
Paramount,33.8976,-118.1651,"42,492,021","56,400",753,"55,673",313,4,18,150,141,"1,744",226,"1,125",393,17,,,,,,,,,,,,,,,,,,,,,
Parlier,36.6082,-119.5436,"11,843,791","15,395",769,"15,262",103,0,11,13,79,256,75,100,81,7,,,,,,,,,,,,,,,,,,,,,
Pasadena,34.1598,-118.1389,"736,236,374","141,023","5,221","143,288",477,2,46,164,265,"3,446",861,"2,261",324,66,,,,,,,,,,,,,,,,,,,,,
Patterson,37.4734,-121.144,"26,773,426","22,590","1,185","21,716",60,1,4,18,37,488,85,297,106,2,,,,,,,,,,,,,,,,,,,,,
Perris,33.7897,-117.2233,"72,815,359","73,722",988,"76,260",225,2,4,91,128,"2,158",344,"1,264",550,1,,,,,,,,,,,,,,,,,,,,,
Petaluma,38.2423,-122.6267,"114,674,862","60,375","1,899","60,933",200,1,29,22,148,"1,108",194,842,72,4,,,,,,,,,,,,,,,,,,,,,
Pico Rivera,33.9902,-118.0888,"56,277,173","64,272",876,"64,469",220,2,12,72,134,"1,621",328,836,457,6,,,,,,,,,,,,,,,,,,,,,
Piedmont,37.8226,-122.2301,"31,879,405","11,219","2,842","11,515",32,0,5,17,10,200,66,109,25,0,,,,,,,,,,,,,,,,,,,,,
Pinole,37.9931,-122.2834,"30,910,711","18,739","1,650","19,451",61,0,4,31,26,892,76,731,85,6,,,,,,,,,,,,,,,,,,,,,
Pismo Beach,35.1492,-120.6506,"34,740,256","8,181","4,246","8,264",12,0,4,6,2,513,80,410,23,0,,,,,,,,,,,,,,,,,,,,,
Pittsburg,38.019,-121.897,"98,340,311","67,817","1,450","70,663",278,7,42,116,113,"1,975",339,961,675,26,,,,,,,,,,,,,,,,,,,,,
Placentia,33.8807,-117.8553,"43,588,043","52,263",834,"52,800",77,1,2,23,51,790,203,505,82,3,,,,,,,,,,,,,,,,,,,,,
Placerville,38.7309,-120.7979,"21,262,635","10,702","1,987","10,705",27,0,6,9,12,370,76,262,32,3,,,,,,,,,,,,,,,,,,,,,
Pleasant Hill,37.954,-122.0759,"30,324,642","34,077",890,"35,140",79,0,3,43,33,"1,510",146,"1,179",185,4,,,,,,,,,,,,,,,,,,,,,
Pleasanton,37.666,-121.8805,"181,481,989","74,982","2,420","81,464",100,0,12,44,44,"1,604",208,"1,260",136,2,,,,,,,,,,,,,,,,,,,,,
Pomona,34.0585,-117.7625,"179,228,462","155,604","1,152","154,109",767,13,68,295,391,"4,676",853,"2,640","1,183",33,,,,,,,,,,,,,,,,,,,,,
Port Hueneme,34.1617,-119.2036,"36,407,635","22,702","1,604","22,570",65,1,6,30,28,399,79,264,56,2,,,,,,,,,,,,,,,,,,,,,
Porterville,36.0636,-119.0332,"63,459,447","60,070","1,056","56,421",215,0,16,52,147,"1,315",280,771,264,0,,,,,,,,,,,,,,,,,,,,,
Poway,32.9872,-117.0201,"84,968,718","50,103","1,696","50,606",65,0,8,14,43,455,93,329,33,2,,,,,,,,,,,,,,,,,,,,,
Rancho Cordova,38.5739,-121.2521,"83,274,749","72,203","1,153","72,265",245,1,17,74,153,"1,435",305,998,132,2,,,,,,,,,,,,,,,,,,,,,
Rancho Cucamonga,34.1246,-117.5662,"148,552,932","175,251",848,"177,089",266,1,43,86,136,"3,991",974,"2,563",454,11,,,,,,,,,,,,,,,,,,,,,
Rancho Mirage,33.7625,-116.4273,"48,342,535","18,070","2,675","18,243",23,0,0,3,20,701,174,462,65,0,,,,,,,,,,,,,,,,,,,,,
Rancho Palos Verdes,33.7554,-118.3636,"36,223,048","43,041",842,"42,947",27,0,7,6,14,417,118,266,33,0,,,,,,,,,,,,,,,,,,,,,
Rancho Santa Margarita,33.6318,-117.5989,"19,528,355","48,516",403,"49,606",48,0,2,10,36,267,45,206,16,2,,,,,,,,,,,,,,,,,,,,,
Red Bluff,40.1734,-122.2414,"16,768,098","14,048","1,194","14,138",159,0,20,35,104,"1,097",260,719,118,8,,,,,,,,,,,,,,,,,,,,,
Redding,40.5698,-122.365,"364,959,219","90,230","4,045","91,918",720,5,84,143,488,"3,837",710,"2,608",519,7,,,,,,,,,,,,,,,,,,,,,
Redlands,34.0512,-117.171,"121,981,399","68,368","1,784","71,485",225,0,37,76,112,"2,913",501,"2,014",398,14,,,,,,,,,,,,,,,,,,,,,
Redondo Beach,33.8574,-118.3766,"127,202,014","69,494","1,830","68,447",160,1,8,58,93,"1,742",428,"1,154",160,1,,,,,,,,,,,,,,,,,,,,,
Redwood City,37.5026,-122.2251,"235,973,050","85,992","2,744","87,046",164,0,43,44,77,"1,503",260,"1,087",156,7,,,,,,,,,,,,,,,,,,,,,
Reedley,36.5988,-119.4473,"29,931,448","25,999","1,151","25,828",190,0,10,19,161,499,154,265,80,6,,,,,,,,,,,,,,,,,,,,,
Rialto,34.1128,-117.3885,"128,194,519","107,330","1,194","103,893",451,4,22,159,266,"1,887",555,603,729,2,,,,,,,,,,,,,,,,,,,,,
Richmond,37.9477,-122.339,"278,414,337","110,378","2,522","110,868","1,019",21,72,364,562,"3,785",645,"1,907","1,233",33,,,,,,,,,,,,,,,,,,,,,
Ridgecrest,35.631,-117.6619,"24,360,761","28,064",868,"29,003",149,0,24,21,104,565,176,317,72,8,,,,,,,,,,,,,,,,,,,,,
Rio Dell,40.5024,-124.1105,"3,764,192","3,416","1,102","3,390",7,0,0,1,6,40,9,22,9,0,,,,,,,,,,,,,,,,,,,,,
Rio Vista,38.1762,-121.7034,"17,216,778","8,601","2,002","8,554",32,0,1,2,29,99,24,58,17,0,,,,,,,,,,,,,,,,,,,,,
Ripon,37.7415,-121.1305,"18,437,254","14,724","1,252","15,318",12,0,2,9,1,267,22,225,20,0,,,,,,,,,,,,,,,,,,,,,
Riverbank,37.7269,-120.9406,"18,392,989","23,913",769,"24,401",55,1,3,26,25,615,83,437,95,1,,,,,,,,,,,,,,,,,,,,,
Riverside,33.9382,-117.3949,"846,372,157","324,696","2,607","325,896","1,724",10,141,586,987,"11,266","1,977","7,355","1,934",57,,,,,,,,,,,,,,,,,,,,,
Rocklin,38.8078,-121.2491,"70,700,278","60,351","1,171","62,006",65,1,19,14,31,"1,202",210,895,97,5,,,,,,,,,,,,,,,,,,,,,
Rohnert Park,38.348,-122.6964,"75,535,841","42,003","1,798","42,723",204,0,31,20,153,743,117,538,88,4,,,,,,,,,,,,,,,,,,,,,
Rolling Hills,33.76,-118.3471,"2,991,303","1,943","1,540","1,899",0,0,0,0,0,11,3,8,0,1,,,,,,,,,,,,,,,,,,,,,
Rolling Hills Estates,33.7783,-118.3508,"11,060,688","8,028","1,378","8,297",11,0,0,8,3,126,33,88,5,0,,,,,,,,,,,,,,,,,,,,,
Rosemead,34.0688,-118.0823,"29,195,033","55,231",529,"55,129",167,1,9,73,84,"1,249",308,714,227,9,,,,,,,,,,,,,,,,,,,,,
Roseville,38.7683,-121.3164,"494,592,365","134,073","3,689","132,566",199,0,21,95,83,"3,316",393,"2,596",327,16,,,,,,,,,,,,,,,,,,,,,
Ross,37.9638,-122.5615,"9,264,391","2,527","3,666","2,492",1,0,1,0,0,25,11,13,1,0,,,,,,,,,,,,,,,,,,,,,
Sacramento,38.5666,-121.4683,"1,547,476,977","485,683","3,186","495,471","3,549",41,88,"1,136","2,284","15,283","3,070","9,389","2,824",173,,,,,,,,,,,,,,,,,,,,,
Salinas,36.6881,-121.6316,"155,713,855","161,042",967,"158,729","1,005",35,86,325,559,"4,742",695,"2,484","1,563",11,,,,,,,,,,,,,,,,,,,,,
San Bernardino,34.1412,-117.2936,"263,008,953","215,491","1,221","217,303","2,878",62,123,903,"1,790","9,178","2,353","4,228","2,597",70,,,,,,,,,,,,,,,,,,,,,
San Bruno,37.6254,-122.4313,"87,383,616","45,360","1,926","43,613",109,0,16,47,46,"1,106",141,857,108,1,,,,,,,,,,,,,,,,,,,,,
San Clemente,33.4498,-117.6103,"101,985,680","66,245","1,540","65,915",75,0,10,21,44,799,184,547,68,4,,,,,,,,,,,,,,,,,,,,,
San Diego,32.8312,-117.1225,"3,086,313,984","1,391,676","2,218","1,413,414","5,332",50,572,"1,387","3,323","28,624","4,743","18,042","5,839",239,,,,,,,,,,,,,,,,,,,,,
San Dimas,34.1082,-117.8089,"29,647,291","34,144",868,"34,884",82,0,15,24,43,764,188,491,85,2,,,,,,,,,,,,,,,,,,,,,
San Fernando,34.2886,-118.4363,"35,805,917","24,533","1,460","25,194",132,1,8,38,85,450,90,240,120,3,,,,,,,,,,,,,,,,,,,,,
San Francisco,37.7561,-122.4429,"10,985,824,991","866,583","12,677","871,155","6,190",57,342,"3,175","2,616","47,402","4,978","36,991","5,433",255,,,,,,,,,,,,,,,,,,,,,
San Gabriel,34.0948,-118.099,"49,338,649","40,424","1,221","40,580",98,0,6,38,54,655,224,374,57,3,,,,,,,,,,,,,,,,,,,,,
San Jacinto,33.797,-116.9915,"33,784,219","47,656",709,"47,475",128,4,1,67,56,"1,673",348,"1,044",281,5,,,,,,,,,,,,,,,,,,,,,
San Jose,37.302,-121.8488,"1,875,144,476","1,042,094","1,799","1,041,844","3,887",47,451,"1,214","2,175","24,749","4,260","12,786","7,703",137,,,,,,,,,,,,,,,,,,,,,
San Juan Capistrano,33.5009,-117.6544,"58,563,759","36,085","1,623","36,798",87,1,9,15,62,436,108,275,53,7,,,,,,,,,,,,,,,,,,,,,
San Leandro,37.7071,-122.1601,"146,866,861","87,700","1,675","91,870",487,3,31,280,173,"3,530",499,"2,070",961,23,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,35.2671,-120.6689,"131,626,162","46,117","2,854","47,774",178,0,39,21,118,"2,076",251,"1,730",95,26,,,,,,,,,,,,,,,,,,,,,
San Marcos,33.135,-117.1743,"97,653,852","93,295","1,047","94,840",197,0,13,42,142,"1,145",211,783,151,3,,,,,,,,,,,,,,,,,,,,,
San Marino,34.1224,-118.1132,"27,560,963","13,566","2,032","13,528",15,0,1,7,7,261,106,148,7,0,,,,,,,,,,,,,,,,,,,,,
San Mateo,37.5522,-122.3122,"218,576,427","102,659","2,129","104,802",242,1,18,44,179,"2,141",732,"1,194",215,4,,,,,,,,,,,,,,,,,,,,,
San Pablo,37.9629,-122.3425,"55,467,793","30,829","1,799","30,674",213,2,22,90,99,"1,214",213,576,425,11,,,,,,,,,,,,,,,,,,,,,
San Rafael,37.9905,-122.5222,"105,839,806","60,582","1,747","59,435",249,0,28,111,110,"1,713",255,"1,186",272,12,,,,,,,,,,,,,,,,,,,,,
San Ramon,37.7625,-121.9366,"98,957,229","78,363","1,263","76,901",39,0,9,12,18,823,140,616,67,2,,,,,,,,,,,,,,,,,,,,,
Sand City,36.6189,-121.8478,"7,149,463",381,"18,765",391,7,0,0,4,3,140,5,129,6,0,,,,,,,,,,,,,,,,,,,,,
Sanger,36.6993,-119.5575,"29,950,664","26,024","1,151","25,078",126,3,9,17,97,564,161,315,88,1,,,,,,,,,,,,,,,,,,,,,
Santa Ana,33.7366,-117.8819,"402,650,658","342,930","1,174","337,419","1,612",23,142,511,936,"6,980","1,119","3,913","1,948",42,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,34.4285,-119.7202,"347,814,107","93,190","3,732","92,519",397,0,87,82,228,"3,060",433,"2,428",199,20,,,,,,,,,,,,,,,,,,,,,
Santa Clara,37.3646,-121.9679,"744,300,212","123,752","6,014","128,179",159,3,17,58,81,"2,814",362,"2,039",413,7,,,,,,,,,,,,,,,,,,,,,
Santa Clarita,34.4119,-118.5036,"217,628,261","219,611",991,"219,611",331,2,45,122,162,"3,005",650,"1,942",413,17,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,36.9788,-122.0346,"175,418,155","64,632","2,714","64,969",521,4,45,106,366,"3,610",354,"2,874",382,11,,,,,,,,,,,,,,,,,,,,,
Santa Fe Springs,33.933,-118.0625,"59,406,896","18,459","3,218","18,401",112,3,8,36,65,"1,184",168,836,180,4,,,,,,,,,,,,,,,,,,,,,
Santa Maria,34.9334,-120.4433,"160,489,516","104,404","1,537","106,200",506,9,45,168,284,"2,638",521,"1,452",665,14,,,,,,,,,,,,,,,,,,,,,
Santa Monica,34.0232,-118.4813,"641,275,845","93,640","6,848","93,921",475,2,40,189,244,"4,039",623,"3,180",236,17,,,,,,,,,,,,,,,,,,,,,
Santa Paula,34.3521,-119.0698,"18,297,399","30,752",595,"30,784",80,2,9,26,43,343,76,218,49,3,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,38.4465,-122.7059,"328,011,212","175,667","1,867","176,383",658,5,94,121,438,"3,010",516,"2,087",407,19,,,,,,,,,,,,,,,,,,,,,
Santee,32.8555,-116.9848,"54,583,555","56,757",962,"58,651",112,2,7,21,82,915,137,681,97,3,,,,,,,,,,,,,,,,,,,,,
Saratoga,37.2685,-122.0254,"24,642,602","30,219",815,"31,152",28,0,4,6,18,286,159,120,7,3,,,,,,,,,,,,,,,,,,,,,
Sausalito,37.8581,-122.4932,"29,533,116","7,217","4,092","7,198",4,0,0,0,4,247,33,202,12,1,,,,,,,,,,,,,,,,,,,,,
Scotts Valley,37.0555,-122.0118,"14,437,032","12,143","1,189","12,016",16,0,4,1,11,255,84,161,10,2,,,,,,,,,,,,,,,,,,,,,
Seal Beach,33.7542,-118.0714,"39,301,280","25,078","1,567","24,721",28,1,1,4,22,546,80,425,41,1,,,,,,,,,,,,,,,,,,,,,
Seaside,36.6224,-121.8191,"32,511,149","34,071",954,"34,827",128,2,10,29,87,607,87,421,99,0,,,,,,,,,,,,,,,,,,,,,
Sebastopol,38.4001,-122.8277,"15,237,672","7,527","2,024","7,734",19,0,4,1,14,135,36,83,16,2,,,,,,,,,,,,,,,,,,,,,
Selma,36.5743,-119.6156,"24,942,663","24,844","1,004","24,641",298,1,18,28,251,827,197,447,183,3,,,,,,,,,,,,,,,,,,,,,
Shafter,35.478,-119.1992,"52,043,002","18,048","2,884","18,608",42,1,7,6,28,567,174,249,144,8,,,,,,,,,,,,,,,,,,,,,
Sierra Madre,34.1687,-118.0504,"17,268,605","11,013","1,568","11,212",25,0,3,3,19,114,47,59,8,0,,,,,,,,,,,,,,,,,,,,,
Signal Hill,33.8029,-118.1681,"43,090,908","11,673","3,692","11,677",69,0,9,29,31,856,103,640,113,2,,,,,,,,,,,,,,,,,,,,,
Simi Valley,34.2663,-118.749,"103,016,687","127,167",810,"127,252",174,2,28,39,105,"1,566",334,"1,127",105,10,,,,,,,,,,,,,,,,,,,,,
Solana Beach,32.9946,-117.2575,"26,910,872","13,494","1,994","13,561",16,0,1,3,12,224,61,141,22,0,,,,,,,,,,,,,,,,,,,,,
Soledad,36.4434,-121.3432,"19,979,825","25,556",782,"24,805",76,1,7,14,54,212,40,92,80,0,,,,,,,,,,,,,,,,,,,,,
Solvang,34.5936,-120.1401,"16,586,584","5,451","3,043","5,844",13,0,2,1,10,79,18,61,0,0,,,,,,,,,,,,,,,,,,,,,
Sonoma,38.2902,-122.4598,"21,835,968","10,865","2,010","11,113",37,0,6,4,27,194,36,150,8,4,,,,,,,,,,,,,,,,,,,,,
Sonora,37.9819,-120.3828,"8,299,416","4,892","1,697","4,802",28,0,9,6,13,370,86,263,21,6,,,,,,,,,,,,,,,,,,,,,
South El Monte,34.0493,-118.0484,"18,926,498","20,814",909,"21,032",109,2,6,44,57,580,152,273,155,6,,,,,,,,,,,,,,,,,,,,,
South Gate,33.9448,-118.1926,"81,503,671","99,578",818,"96,791",660,5,29,250,376,"3,435",507,"1,929",999,8,,,,,,,,,,,,,,,,,,,,,
South Lake Tahoe,38.9393,-119.9828,"55,620,598","20,807","2,673","21,765",71,1,12,23,35,430,90,297,43,0,,,,,,,,,,,,,,,,,,,,,
South Pasadena,34.1103,-118.1573,"45,399,775","26,028","1,744","26,256",27,0,7,10,10,667,162,447,58,4,,,,,,,,,,,,,,,,,,,,,
South San Francisco,37.6537,-122.4197,"137,248,748","64,585","2,125","67,995",149,1,25,43,80,"1,416",307,902,207,6,,,,,,,,,,,,,,,,,,,,,
Stanton,33.8002,-117.9935,"34,143,713","39,751",859,"39,066",131,0,14,56,61,734,120,469,145,6,,,,,,,,,,,,,,,,,,,,,
Stockton,37.9766,-121.3111,"425,050,447","315,592","1,347","308,348","4,381",49,128,"1,185","3,019","11,634","2,251","7,550","1,833",81,,,,,,,,,,,,,,,,,,,,,
Suisun,38.2471,-122.0086,"20,141,745","29,091",692,"29,768",80,0,16,23,41,654,79,495,80,5,,,,,,,,,,,,,,,,,,,,,
Sunnyvale,37.3846,-122.0261,"396,749,744","148,372","2,674","154,108",158,1,21,53,83,"2,140",520,"1,347",273,16,,,,,,,,,,,,,,,,,,,,,
Susanville,40.4206,-120.6129,"14,510,342","14,614",993,"14,798",181,0,9,11,161,282,68,193,21,4,,,,,,,,,,,,,,,,,,,,,
Sutter Creek,38.3827,-120.8112,"4,046,935","2,588","1,564","2,484",5,0,0,1,4,55,15,35,5,1,,,,,,,,,,,,,,,,,,,,,
Taft,35.1267,-119.4242,"8,493,016","9,405",903,"9,543",73,0,3,6,64,355,80,249,26,0,,,,,,,,,,,,,,,,,,,,,
Tehachapi,35.127,-118.4751,"17,448,194","12,217","1,428","12,770",52,0,6,8,38,273,89,161,23,1,,,,,,,,,,,,,,,,,,,,,
Temecula,33.4928,-117.1315,"83,237,964","109,064",763,"114,381",145,2,4,55,84,"2,587",341,"1,940",306,3,,,,,,,,,,,,,,,,,,,,,
Temple City,34.1022,-118.0579,"18,665,393","36,534",511,"36,527",49,1,5,15,28,580,264,278,38,2,,,,,,,,,,,,,,,,,,,,,
Thousand Oaks,34.1914,-118.8755,"176,292,958","132,365","1,332","129,853",164,0,30,33,101,"1,686",272,"1,302",112,10,,,,,,,,,,,,,,,,,,,,,
Tiburon,37.8853,-122.4636,"10,957,295","9,503","1,153","9,263",4,0,2,0,2,83,18,61,4,0,,,,,,,,,,,,,,,,,,,,,
Torrance,33.8346,-118.3417,"310,344,576","147,175","2,109","149,078",258,1,28,119,110,"3,221",458,"2,326",437,5,,,,,,,,,,,,,,,,,,,,,
Tracy,37.7254,-121.4447,"172,612,813","89,208","1,935","87,844",151,0,17,62,72,"1,899",245,"1,348",306,12,,,,,,,,,,,,,,,,,,,,,
Truckee,39.3455,-120.1848,"52,525,811","15,370","3,417","16,326",25,0,2,2,21,187,42,121,24,3,,,,,,,,,,,,,,,,,,,,,
Tulare,36.1996,-119.34,"148,626,006","63,515","2,340","62,902",224,6,13,57,148,"1,764",292,"1,110",362,0,,,,,,,,,,,,,,,,,,,,,
Tulelake,41.9533,-121.4751,"4,179,728","1,010","4,138",990,1,0,0,0,1,10,4,5,1,0,,,,,,,,,,,,,,,,,,,,,
Turlock,37.5053,-120.8588,"91,368,796","72,050","1,268","73,031",384,7,23,93,261,"2,503",474,"1,495",534,15,,,,,,,,,,,,,,,,,,,,,
Tustin,33.7309,-117.8106,"125,157,380","82,717","1,513","81,642",120,2,13,34,71,"1,806",229,"1,412",165,0,,,,,,,,,,,,,,,,,,,,,
