City,Lat,Long,Total_Revenue,Population,Revenue_per_capita,Population_Fbi,Violent_Crime,Murder,Rape,Robbery,Agg_Assault,Property_Crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,,,,,,,,,,,,,,,,,,,,,
Hesperia,34.3974,-117.3144,"40,003,459","93,226",429,"93,888",334,3,30,92,209,"1,799",457,994,348,21,,,,,,,,,,,,,,,,,,,,,
Hidden Hills,34.1637,-118.6612,"2,366,746","1,872","1,264","1,938",1,0,1,0,0,16,8,8,0,0,,,,,,,,,,,,,,,,,,,,,
Highland,34.1113,-117.1653,"38,971,381","53,645",726,"55,184",239,3,10,79,147,"1,134",304,532,298,13,,,,,,,,,,,,,,,,,,,,,
Hillsborough,37.5573,-122.3587,"54,044,597","11,687","4,624","11,575",9,0,2,2,5,121,84,36,1,0,,,,,,,,,,,,,,,,,,,,,
Hollister,36.8564,-121.3981,"133,000,690","36,484","3,645","37,953",116,0,12,25,79,396,74,243,79,5,,,,,,,,,,,,,,,,,,,,,
Holtville,32.8129,-115.3779,"10,544,421","6,093","1,731","6,498",12,0,0,1,11,82,28,41,13,2,,,,,,,,,,,,,,,,,,,,,
Hughson,37.6026,-120.8661,"9,769,909","7,150","1,366","7,539",8,0,0,2,6,146,45,86,15,3,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,33.696,-118.0023,"332,045,006","195,212","1,701","204,071",362,2,55,76,229,"4,527",650,"3,466",411,20,,,,,,,,,,,,,,,,,,,,,
Huntington Park,33.98,-118.2167,"49,044,634","59,718",821,"59,692",463,2,28,216,217,"1,988",208,"1,102",678,20,,,,,,,,,,,,,,,,,,,,,
Huron,36.204,-120.0961,"6,406,244","6,914",927,"6,852",54,1,3,8,42,93,43,36,14,7,,,,,,,,,,,,,,,,,,,,,
Imperial,32.8375,-115.5719,"21,114,244","27,434",770,"17,582",7,0,0,1,6,73,7,60,6,0,,,,,,,,,,,,,,,,,,,,,
Imperial Beach,32.5687,-117.1184,"24,320,852","18,165","1,339","27,616",71,1,7,17,46,372,87,172,113,2,,,,,,,,,,,,,,,,,,,,,
Indian Wells,33.7036,-116.3396,"41,686,499","5,412","7,703","5,352",8,0,1,2,5,110,38,68,4,0,,,,,,,,,,,,,,,,,,,,,
Indio,33.7346,-116.2347,"73,580,396","88,058",836,"89,201",437,5,26,88,318,"1,944",400,"1,165",379,5,,,,,,,,,,,,,,,,,,,,,
Industry,34.0175,-117.9268,"524,010,565",441,"1,188,233",204,96,0,8,40,48,"1,175",174,783,218,5,,,,,,,,,,,,,,,,,,,,,
Inglewood,33.9566,-118.3444,"193,638,609","116,648","1,660","112,059",830,16,56,406,352,"2,456",437,"1,229",790,29,,,,,,,,,,,,,,,,,,,,,
Ione,38.3612,-120.9422,"5,136,268","7,085",725,"6,860",4,0,1,0,3,49,6,37,6,0,,,,,,,,,,,,,,,,,,,,,
Irvine,33.6772,-117.7738,"324,126,511","258,386","1,254","266,663",152,3,41,52,56,"3,737",640,"2,918",179,9,,,,,,,,,,,,,,,,,,,,,
Irwindale,34.1121,-117.9637,"25,218,491","1,415","17,822","1,440",18,0,1,6,11,206,41,127,38,1,,,,,,,,,,,,,,,,,,,,,
Isleton,38.1617,-121.6051,"1,050,644",846,"1,242",840,6,0,0,1,5,13,8,5,0,0,,,,,,,,,,,,,,,,,,,,,
Jackson,38.3485,-120.7724,"7,675,331","4,902","1,566","4,649",30,0,1,4,25,156,49,94,13,0,,,,,,,,,,,,,,,,,,,,,
Kerman,36.7249,-120.0625,"12,412,336","14,366",864,"14,654",35,0,4,7,24,374,74,243,57,0,,,,,,,,,,,,,,,,,,,,,
King City,36.2165,-121.133,"9,752,584","14,221",686,"14,111",47,2,4,5,36,236,57,115,64,3,,,,,,,,,,,,,,,,,,,,,
Kingsburg,36.5241,-119.5608,"12,768,463","12,101","1,055","11,905",27,0,3,8,16,346,116,126,104,1,,,,,,,,,,,,,,,,,,,,,
La Canada Flintridge,34.2097,-118.2002,"21,017,184","20,556","1,022","20,659",13,0,0,5,8,303,95,194,14,1,,,,,,,,,,,,,,,,,,,,,
La Habra,33.9278,-117.9513,"82,186,040","62,064","1,324","62,483",102,1,8,35,58,"1,352",237,955,160,2,,,,,,,,,,,,,,,,,,,,,
La Habra Heights,33.9603,-117.9509,"5,183,032","5,459",949,"5,480",4,0,0,2,2,109,37,64,8,1,,,,,,,,,,,,,,,,,,,,,
La Mesa,32.7703,-117.0203,"69,077,816","59,982","1,152","60,681",197,0,21,56,120,"1,669",336,"1,108",225,11,,,,,,,,,,,,,,,,,,,,,
La Mirada,33.9025,-118.0093,"63,396,996","49,639","1,277","49,715",85,1,9,27,48,889,162,606,121,1,,,,,,,,,,,,,,,,,,,,,
La Palma,33.8504,-118.0407,"14,819,766","16,057",923,"15,975",37,0,1,10,26,369,141,196,32,1,,,,,,,,,,,,,,,,,,,,,
La Puente,34.0323,-117.9533,"18,771,930","40,521",463,"40,928",131,1,9,45,76,560,136,260,164,4,,,,,,,,,,,,,,,,,,,,,
La Quinta,33.6537,-116.2785,"59,333,064","39,977","1,484","41,058",86,1,5,34,46,"1,085",167,852,66,3,,,,,,,,,,,,,,,,,,,,,
Lafayette,37.8919,-122.1188,"23,188,271","24,924",930,"26,254",13,0,5,5,3,394,65,288,41,4,,,,,,,,,,,,,,,,,,,,,
Laguna Beach,33.5449,-117.7613,"86,733,605","23,617","3,673","23,486",116,0,15,17,84,646,134,452,60,6,,,,,,,,,,,,,,,,,,,,,
Laguna Hills,33.592,-117.6992,"23,290,066","30,681",759,"32,045",34,0,5,9,20,536,107,381,48,0,,,,,,,,,,,,,,,,,,,,,
Laguna Niguel,33.5275,-117.705,"51,209,396","66,142",774,"66,352",65,0,9,22,34,751,124,567,60,2,,,,,,,,,,,,,,,,,,,,,
Laguna Woods,33.6099,-117.7299,"6,621,681","16,213",408,"16,473",12,0,4,2,6,169,21,139,9,0,,,,,,,,,,,,,,,,,,,,,
Lake Elsinore,33.6847,-117.3346,"44,704,462","61,006",733,"63,907",155,3,10,53,89,"1,865",274,"1,224",367,2,,,,,,,,,,,,,,,,,,,,,
Lake Forest,33.6606,-117.6712,"82,087,051","83,910",978,"83,511",105,0,17,13,75,746,135,533,78,7,,,,,,,,,,,,,,,,,,,,,
Lakeport,39.0392,-122.9218,"8,613,436","4,765","1,808","4,817",47,0,3,14,30,206,50,142,14,0,,,,,,,,,,,,,,,,,,,,,
Lakewood,33.8471,-118.1222,"62,459,487","78,471",796,"81,921",223,2,7,113,101,"2,521",342,"1,872",307,14,,,,,,,,,,,,,,,,,,,,,
Lancaster,34.6934,-118.1753,"129,144,663","157,094",822,"161,963","1,103",7,73,340,683,"3,488","1,059","1,816",613,67,,,,,,,,,,,,,,,,,,,,,
Lawndale,33.8884,-118.3531,"16,672,842","33,496",498,"33,560",194,0,9,71,114,528,93,276,159,1,,,,,,,,,,,,,,,,,,,,,
Lemon Grove,32.7331,-117.0344,"16,202,907","26,611",609,"26,981",139,0,6,56,77,509,106,311,92,4,,,,,,,,,,,,,,,,,,,,,
Lemoore,36.296,-119.7983,"26,000,396","26,199",992,"25,875",98,0,20,10,68,501,111,308,82,7,,,,,,,,,,,,,,,,,,,,,
Lincoln,38.8749,-121.2943,"64,498,150","47,339","1,362","47,206",29,0,5,7,17,541,118,366,57,2,,,,,,,,,,,,,,,,,,,,,
Lindsay,36.2079,-119.0902,"12,500,662","12,960",965,"13,533",72,0,1,7,64,322,80,151,91,5,,,,,,,,,,,,,,,,,,,,,
Livermore,37.6863,-121.7607,"193,839,104","88,138","2,199","89,553",174,1,26,59,88,"2,284",255,"1,739",290,14,,,,,,,,,,,,,,,,,,,,,
Livingston,37.3875,-120.7249,"15,729,627","13,849","1,136","14,076",60,0,5,6,49,372,115,193,64,3,,,,,,,,,,,,,,,,,,,,,
Lodi,38.1218,-121.2933,"166,987,507","63,219","2,641","65,067",351,5,9,84,253,"1,935",438,"1,189",308,4,,,,,,,,,,,,,,,,,,,,,
Loma Linda,34.0448,-117.2504,"52,942,019","24,649","2,148","24,190",34,0,3,12,19,649,103,403,143,4,,,,,,,,,,,,,,,,,,,,,
Lomita,33.7934,-118.3175,"17,690,634","20,290",872,"20,889",69,0,4,27,38,347,73,223,51,0,,,,,,,,,,,,,,,,,,,,,
Lompoc,34.6617,-120.4714,"97,357,938","44,116","2,207","44,541",222,0,27,19,176,977,219,628,130,5,,,,,,,,,,,,,,,,,,,,,
Long Beach,33.8059,-118.161,"1,705,429,000","484,958","3,517","476,476","2,846",33,197,"1,138","1,478","14,224","2,988","8,377","2,859",117,,,,,,,,,,,,,,,,,,,,,
Los Alamitos,33.7972,-118.0594,"17,633,057","11,738","1,502","11,774",13,0,2,4,7,219,73,129,17,0,,,,,,,,,,,,,,,,,,,,,
Los Altos,37.3685,-122.0965,"48,765,263","31,353","1,555","31,000",13,0,3,3,7,343,133,193,17,2,,,,,,,,,,,,,,,,,,,,,
Los Altos Hills,37.3672,-122.1391,"12,123,746","8,658","1,400","8,495",6,0,2,0,4,63,41,22,0,3,,,,,,,,,,,,,,,,,,,,,
Los Angeles,34.114,-118.4068,"17,104,427,703","4,030,904","4,243","4,007,905","28,817",293,"2,343","10,307","15,874","99,151","15,821","64,739","18,591","1,241",,,,,,,,,,,,,,,,,,,,,
Los Banos,37.0631,-120.8405,"44,164,924","39,359","1,122","37,738",121,1,11,35,74,"1,161",253,733,175,4,,,,,,,,,,,,,,,,,,,,,
Los Gatos,37.2307,-121.9564,"38,891,129","31,376","1,240","30,947",21,0,2,6,13,616,139,432,45,3,,,,,,,,,,,,,,,,,,,,,
Lynwood,33.924,-118.2017,"46,109,466","72,505",636,"72,471",469,9,31,197,232,"1,713",245,701,767,17,,,,,,,,,,,,,,,,,,,,,
Madera,36.964,-120.0803,"58,376,910","65,474",892,"64,753",505,3,22,98,382,"1,859",297,"1,262",300,0,,,,,,,,,,,,,,,,,,,,,
Malibu,34.0368,-118.7845,"52,715,081","12,706","4,149","13,030",38,0,6,13,19,402,87,283,32,1,,,,,,,,,,,,,,,,,,,,,
Mammoth Lakes,37.6273,-118.99,"39,076,247","8,024","4,870","7,891",21,1,5,3,12,109,19,79,11,0,,,,,,,,,,,,,,,,,,,,,
Manhattan Beach,33.8895,-118.3972,"100,448,145","35,297","2,846","35,955",53,0,8,32,13,"1,030",191,786,53,8,,,,,,,,,,,,,,,,,,,,,
Manteca,37.7938,-121.2271,"136,830,528","73,841","1,853","77,104",244,0,30,91,123,"2,700",315,"2,020",365,13,,,,,,,,,,,,,,,,,,,,,
Marina,36.6812,-121.7894,"72,461,985","20,982","3,454","21,539",57,0,12,10,35,499,63,390,46,4,,,,,,,,,,,,,,,,,,,,,
Martinez,37.9985,-122.116,"40,491,852","37,057","1,093","38,541",51,0,3,21,27,858,112,422,324,0,,,,,,,,,,,,,,,,,,,,,
Marysville,39.1518,-121.5835,"10,587,192","12,010",882,"12,241",96,1,8,23,64,504,108,295,101,8,,,,,,,,,,,,,,,,,,,,,
Maywood,33.9885,-118.1877,"12,048,026","28,219",427,"27,985",122,0,9,39,74,441,79,195,167,4,,,,,,,,,,,,,,,,,,,,,
